user_id_str,hashtags
47419120,BringBackBoris
1047128572303937500,-
1608125111315452000,"LovingBoris, Brexit"
1306660816272478200,"Brexit, EuropeanUnion, Government"
2473900885,"Brexit, Charlatans, RejoinEU"
1220248201367900200,"SadiqOut, SackSadiq"
518177597,Brexit
498939050,-
2320842841,"irexit, Frexit, Brexit, Italexit"
92386636,Brexit
1267720595439001600,-
1608873127798313000,-
788096451658313700,-
1482285152684462000,-
268201487,BringBackBoris
2954167529,-
444015120,-
2341908721,-
1177263040414306300,-
1490719768713875500,enoughisenough
1221151388408918000,-
1271033599,-
115777637,-
1598394232716333000,-
885617104963211300,-
1040186132649177100,-
291700411,-
580335213,Brexit
29674538,-
957920383910531100,"NoNetZero, EnoughIsEnough"
1368217212243353600,Brexit
936964963792576500,BREXIT
289986478,"CostOfLivingCrisis, luxurybeliefs"
1471797737456902100,-
505576616,"snpout, SturgeonDestroyerofScotland, sturgeonout, BigEck"
29803968,nomorelockdowns
567563098,-
1483572977853767700,-
1219973851972587500,-
1218985582149410800,BringBackBoris
1017466122042474500,-
1553043086632173600,-
1488608526637453300,BringBackBoris
1328813218559570000,-
560471376,-
72377367,-
1623701771053850600,-
144491343,"SexMatters, WomensRightsMatter, notourcrimes"
1566134266605568000,BringBorisBack
1124705089925599200,leftards
1551677963019616300,IStandWithJKRowling
1246169457371885600,-
1187899286,Brexit
1367102228172071000,Nuremberg2
1264602784118255600,-
1010445760935223300,Brino
1476311869266800600,"Bakhmut, ZelenskyWarCriminal"
791894487278682100,Brexit
1518722517560606700,Brexit
1536973525,-
751526284744921100,DiedSuddenly
953962826552545300,"GMB, skynews, BBCBreakfast, GBNews, Brexit"
1418143187739320300,IStandWithJKRowling
1583470397760176000,-
893111221,"bbcnews, itvnews, skynews, GBNews, ECHR, Brexit, BrexitBritain"
19464322,Brexit
1519010493603750000,-
1605630480862281700,"Brexit, Tories"
2445636295,IStandWithJKRowling
1081320968889552900,Brexit
2505446184,-
1500449352086605800,Brexit
1063051340342018000,-
3906154057,Brexit
42622053,"Brexit, investment, productivity"
910615659310207000,-
245927831,-
567711888,"neverlabour, BREXIT"
1271045525995950000,-
974342268718022700,Brexit
995059870679302100,brexit
430620548,"SCOTLAND, snpout"
1173241760178475000,-
720013442,-
1323270024618979300,-
1596411113058570200,-
83416651,-
1441749912,-
388895210,Brexit
1883272039,-
1511624426089062400,-
1397530359147942000,-
965608898299351000,-
1177851431992402000,-
454605822,"NeverLabour, Brexit, NeverEU"
1182685503767924700,SlavaUkraïni
926187339902222300,-
110268940,-
211279403,-
1521385386546806800,-
835245038397440000,-
59590288,-
3092871172,UkraineRussiaWar
1350718714195411000,"Ukraine️, UkraineWar"
20316349,-
2401718935,"WomenWontWeesht, ScottishNonceParty, ResignStrugeon"
84438608,WomenWontWeesht
839085172792385500,-
1518984574424002600,-
1612405337075716000,-
1345383865104396300,-
1594331410596335600,BREXIT
2922019893,-
774318362839179300,-
33991627,-
3665751795,"biologicalreality, sexnotgender"
1096091315752849400,-
701792063583612900,JeremyVine
989986250705834000,UkraineRussiaWar
119363934,"WestminsterHall, UkraineRussiaWar, Ukraine"
230748240,"NeverLabour, PMQs"
303123316,PMQs
1259410263587147800,"Tomorrowspaperstoday, pmqs"
1449323311612276700,"BrexitReality, BrexitReality"
1123236060488708100,-
1109442921533718500,NeverLabour
1085989875525001200,WhiteLivesMatter
1522171239196151800,-
245385315,neverlabour
1583770010689982500,ToryCorruption
1348982327137996800,-
1519578019060498400,"NeverLabour, LabourLies"
703922418084094000,NeverLabour
302704001,-
85333236,-
1200877893871718400,-
311138246,NeverLabour
830870047140753400,"WheresNickBrown, LabourLies"
96175513,-
947438512604962800,BringBackBoris
90358630,-
2191574745,-
560392870,-
3077435434,-
997840122,-
1586251863208370200,-
1208819873792635000,-
