user_id_str,hashtags
1168497045080072192,"walesisfull, Scotlandisfull"
1574096740696920064,"MAGA, TRUMP2024, Trump"
1548430050273271808,"LetsGoBrandon, DemocratsAreEvil, AmericaFirst, ShallNotBeInfringed, AbortionIsMurder, ProLife"
1522953410479366144,"StopElectionFraud, TrumpWon, Trump2024"
3388525438,"TRUMP2024, MAGA"
730090318389911552,"MAGA, TrumpWon, MakeHimWinAgain, TRUMP2024"
785879352529391616,"MAGA, TRUMP2024"
1519206124851023872,"UltraMAGA, TRUMP2024"
1149212239481704448,"arrestglobalists, zelenskywarcriminal, saveamerica, worldwar3, nuclearwar, maganews, americafirst, trump2024, impeachbiden, wef"
836721050008313856,-
1586363815058358272,"MAGA, BlueLivesMatter, TRUMP2024"
1411110567658459136,"ReleaseJ6Prisoners, CorruptDOJ, TrumpWasRightAboutEverything, Trump2024, MAGA, MAGAA, AmericaFirst"
1550024757734686720,"MAGA, Trump, Trump2024"
1591081791208595456,"Trump, geopolitics, maga, trump2024, trendingarticles, trumpwasright, news, patriot, patriots"
978169646,"SaveAmerica, pastor, PeopleofWashingtonDC, Americafirst, Democrat, Republican, Trump2024, DrFauci, ESPN, TwitteFile, Theview, Liberal, SoldOut, TomTillis, AmericanIndian, TheMilitary, ILoveFoxNews, CollegeStudentsForTrump"
755776417434996736,"MAGA, AmericaFirst, Trump2024"
1626098888557068288,"TRUMP2024, KariLake, CandaceOwens, UltraMAGA"
1588604211209437184,"NeverForget, COVID19, CovidVaccine, FauciLied, MAGA, TRUMP2024"
1329261758054219776,"podcast, ultramaga, maga, spotify, fjb, letsgobrandon, trump2024, FettermanDead, ArrestFauci, Jan6"
2195210402,"TRUMP2024, MAGA"
1589106171897679872,"TheDilleyShow, MAGA, Trump2024"
26355169,"fuk, USA, Trump2024, MAGA"
1497151147072761856,"MAGA, woke, WokeMindVirus, TRUMP2024ToSaveAmerica, TrumpWasRightAboutEverything, TRUMP2024, J6CoverUp, TuckerCarlson, UkraineRussiaWar️, CORRUPTION, TreasonHasConsequences, USA"
1593859187783569408,"FAKE_DEMOCRACY, FRAUDULENT_POLITICIANS, UltraMAGA, MAGA, TrumpWasRightAboutEverything, TRUMP2024"
904477285809496064,"LetsGoBrandon, TRUMP2024, TrumpWasRightAboutEverything, TrumpWon"
1520106312402673664,"ShitShow, TRUMP2024, LetsGoBrandon, BidenSucks"
1586772991270002688,"AmericaFirst, tuckercarlson, FoxNews, Tucker, MAGA, RayEpps, Cartels, instagramdown, J6CoverUp, J6footage, J6tapes, QArmy"
1090509661432963072,"Trump2024, MAGA"
52835271,"PresidentTrump, StolenElection, TRUMP2024, MAGA, UltraMAGA"
1546659690196738048,"TRUMP2024, AmericaFirst, MAGA, TRUMP2024ToSaveAmerica"
1589820198026084352,"MAGA, TRUMP2024"
1253625300,"creepyjoe, ImpeachBiden, ImpeachBidenAdministration, InternationalWomansDay, InternationalWomansDay2023, MAGA, TRUMP2024"
1066777350975688704,"LGB, FJB, MAGA, TRUMP2024"
1489396994372157440,-
1576020063857303552,"InternationalWomensDay, WomensDay, WomensDay2023, InternationalWomensDay23, WomensMonth, WomensMonth2023, CrookedHillary, HillaryClinton, WomenSupportingWomen, UltraMAGA, MAGA, FJB, FJBiden, IFBAP, USA"
1614605540516061184,"oldham, Oxford, rochdale, Rotherham, telford, Dover, stoptheboats, neverlabour, IrelandisFull, Britainisfull, enoughisenough"
1338989089002020864,"AmericaFirst, TheFive, BlueLivesMatter, WhiteLivesMatter"
20791458,pureblood
1097256347501056000,"Lefty, Remoaners, LeaveMeansLeave, StopTheBoats, StopTheInvasion"
20090724,"StopTheBoats, BuildAWall, MEGA, MAGA, GTTO, REDKIP, Fascism, Brexit, NeverTory, DemandBetter"
1220858820961935360,"TRUMP2024, MAGA, TRUMP2024ToSaveAmerica"
1439441539290128384,"TheDilleyShow, Dilley300, PureBlood, Trump2024, AmericaFirst"
1563253171056570368,"Memes, Trump2024, MAGA, UkraineWar"
1199771785148993536,"MAGA, AmericaFirst, USA, Congress, Virginia"
520056480,"SayNoToJenner, TransRightsAreHumanRights, CPAC2023, CPAC, cpac23, UltraMAGA, TransWomenAreWomen, MAGA2024, MAGAMorons, homophobia, DragQueens, TheStupidsEvisceratingTheUneducated"
828517763517935616,"USA, America, AmericaFirst, GOP, Conservative, Trump, Republican, LetsGoBrandon, CRT"
1404623380951801856,"TrumpWon2020, PureBlood, USA, Trump, MAGA, PATRIOT, CONSERVATIVE, ArrestHunterBiden, ProtectAllChildren, IFBAP, FJB, GOPSeditiousTraitors, GQP"
1599840869901029376,"cabinetreshuffle, ChrisChristie, Bakhmut, NationalDivorce, AntiWhiteism, RINOs, TRUMP2024, Walgreens, UkraineRussiaWar️, GreatReplacement, CRT, 1A"
1435829611368226816,"NewWorldOrder, WEF, DiedSuddenly, GreatReset, Agenda2030, nwo, 15minutecities, DigitalID, climatescam, SocialCreditSystem, cbdc, PureBlood, che"
1466678463553671168,"TRUMP2024, bannon, MAGA2024, MAGA"
1438304472338518016,"MAGA2024, TRUMP2024, Memes, maga, Trump"
569482666,"YE24, NickFuentes, AmericaFirst"
1375579085305491456,"LetsGoBrandon, TRUMP2024"
1519090700800909312,"warrroompandemic, realamericanpatriots, TrumpWasRightAboutEverything, TRUMP2024, MAGA2024, AmericaFirst, Americans, USA, carter"
490462762,"SendThemBack, StopTheInvasion, StopTheBoats"
1459527902182137856,"CPAC, patriots, maga, TRUMP2024"
1337469819071819776,"MAGA, Trump, Trump2024, AmericaFirst, Truth, TruthSeekers, TruthBomb, Trump"
1461768291278536704,"NWO, China, LetsGoBrandon, FJBiden, FJBLGBMAGA, MAGA2024"
1621240386978037760,"Trolling, TRUMP2024, MAGA, TrollingIsFun, Dilley300"
47086949,"Ukraine, Ukraina, UkraineRussianWar, UkraineWillWin, UkraineWar, UkraineRussiaWar️, Ukrainian, ukrainecounteroffensive, Russia, Terrorism, Bakhmut, UkraineWar️, RUSSIA, PUTIN, MAGA, TRUMP2024, GOP, Desantis"
1603917769229082624,"TRUMP2024, MAGA2024"
1497706627746570240,"TRUMP2024, Patriot, AmericaFirst, BorderSecurity, china, AuditUkraine, FBI, DOJ, Biased, elctionInterference, HBLaptop, Biden, equity, climateCult, Agenda2030, studentloanSCAM, climateScam, Oil"
1548236979829030912,"FJB, notmypresident, letsgobrandon, trumpwonbyalandslide, maga, buildthewall, americansfirst, sendthemback, impeachbiden, prouddeplorable, gowokegobroke, backtheblue, whitelivesmatter, fundthepolice"
2459864659,"FJB, joebiden, KamalaHarris, LetsGoBrandon, racist, racism, BLM, MAGA, TRUMP2024"
170175828,"トランプ大統領, MAGA2024"
1563373156257083392,"Trump, otriangulotvi, on_the_street, goLOUD, wtcfinal, GFvip, JHOPE_ON_THE_STREET, MAGA, TRUMP2024"
122445898,"GOP, UltraMAGA, MAGA, FakeNews, AlternativeFacts, Liars, Troglodytes, AntiHuman, WhitePower, Hatred, OldWhite"
1605369870148931584,"MarjorieTaylorGreene, MTG, MarjorieIsIgnorantTrash, MAGA, MAGA2024, magats, MAGAMorons, GOP, GOPClownShowContinues, RepublicanClownShow, VoteBIGblue"
2806010617,"TRUMP2024, TRUMP2024ToSaveAmerica, Republican, AmericaFirst, WarInUkraine"
1616750977125699584,"Charlottesville, whiteisright, maga, whiteamerica, ProudBoys, keepamericawhite, natsoc, stopthesteal, pureblood"
1260367054076436480,"BidenDestroysAmerica, BidenBorderCrisis, BidenCrimeFamilyExposed, BidenDeliversAGAIN, BidensWar, BidenIsALaughingstock, BidenApproval, BidenIsDestroyingAmerica, PresidentBiden, MAGA2024, MAGA, POTUSTrump"
1622442543257632768,"Trump2024, SaveAmerica, MAGA, Trumpforpresident, liberalsarecrying, Letsgobrandon, FJB, Democratsruineconomy, TRUMP2024ToSaveAmerica"
884491509067726848,UltraMAGA
897818038959058944,"GodBlessAmerica, comedyskit, paranormal, comedy, Patriots, freedom, AmericaFirst, letsgobrandon, ghoststories, scarystories, podcast, talkshow, HorrorCommunity"
1594364729803390976,"Trump2024, TrumpWon, ClintonCrimeBill94, RacialJungle, LetsGoBrandon"
1524063799275569152,"ElonMusk, FreeSpeech, MAGA, DonaldTrump, Twitter, Republican, Democrat, FakeNews, MSMLies, LetsGoBrandon, TRUMP2024"
1546365846548844544,"MAGA2024, ImpeachBiden"
1607064405573005312,"PresidentTrump, Trump, TRUMP2024, MAGA, djt, TRUMP2024ToSaveAmerica"
1471794826081357824,"TRUMP2024, MAGA, TRUMPTRAIN"
709451112739262464,"LetsGoBrandon, TRUMP2024"
702585512083660800,"CrimesAgainsHumanity, Doctors, Nuremberg2, Putin, ZelenskyWarCriminal, MAGA, AmericaFirst, America"
30362984,"TrumpWasRight, TRUMP2024, MAGA"
1518827629599633408,"MAGA, LEXIT, TRUMP2024"
47695331,"AmericaFirst, California, MAGA"
1624132611978174464,"TwitterFiles, LetsGoBrandon, trump2024, UkraineRussiaWar️, KatieHobbs"
20680512,"TheMoreYouKnow, VoteRed2HurtYourslef, FJBLGBMAGA, LGB, FJB, FJBiden, TheBigGuy, LetsGoBrandon, BidenWorstPresidentInHistory, BidenDestroysAmerica, BidenLaptop, BidenWorstPresidentEver, BidenApproval, Trump2024, TRUMP2024ToSaveAmerica, ChinaJoe, HunterBidenLaptop, MAGA"
720378445,"AmericaFirst, MAGA, EastPalestineOhio"
396622827,"Trumpwon, TRUMP2024ToSaveAmerica, TRUMP2024"
1283469000266010624,"donaldjtrump, EastPalestineOhio, AmericaFirst, MAGA"
1188858353465937920,"winning, NeverForget, MAGA, deplorable, Trump2024"
3267868230,PureBlood
1487812492558581760,"TRUMP2024, TRUMP2024ToSaveAmerica, Republicans, MAGA2024, MAGA, DemocratsAreCorrupt, DemocratsAreDestroyingAmerica, DemocratsHateAmerica"
1582060420248080384,"VoteRedToSaveAmerica, Retweet, MAGA, ULTRAMAGA, Patriots, VaccineDeath, TheCompanyYouKeep, CNN"
84519893,"ZelenskiWarCriminal, FJB, OhioChemicalDisaster, Peteistheworst, LetsGoBrandon, AshliBabbittwasmurdered, SouthernBorder, FentanylCrisis, TrumpWon, KeriLakeWon, MAGA, DiedSuddenly, BidenLaptop"
1456098717757423616,"Christian, Trump, Biden, T, Christian, Christians, Maga, Trump2024, TrumpTrain, Faith, God, PresidentTrump, LetsGoBrandon, EastPalestine, Palestine, PalestineOhioDisaster"
1203535984966680576,"BlacksForTrump, Trump2024, MAGA, TRUMP2024ToSaveAmerica"
1089435687395385344,"MAGA, GOP, GreatReplacement, Cartels, WhiteNationalism"
2428254392,"magats, maga, qannon, MAGA2024"
1035300875982401536,"biden, ukraine, ukrainewar, stairs, old, joebiden, trump2024, maga, inflation, russia, ukrainerussiawar, ukrainewar"
1428109619700899840,"antiwhite, AntiWhite, EthnicEuropean, IrelandisFull"
1505018209677762560,"Trump2024, MAGA2024, TRUMP2024ToSaveAmerica"
3327070993,"pureblood, Trump2024"
1481006473899560960,"Trump2024, MAGA, TRUMP2024ToSaveAmerica, TrumpWater, PresidentTrump, EastPalenstineOH, EastPalestine, EastPalestineOH, TrainDerailment"
3603864075,"Trump, BidenCrimeFamilly, MoneyLaundering, ukrainewar, ClintonCrimeFamily, obamacrimefamily, DrainTheSwamp, Trump2024, MAGA"
706794696085999616,"LIVE, YouTube, Twitter, Facebook, Ireland, EnoughIsEnough, IrelandIsFull, CloseTheBorders, GreatReset, replacism, Ireland4All, censorship, cashless, Dublin, Ballymun, EastWall"
1597781514397302784,"Trump2024, Biden, UkraineWar, AmericaFirst, FoxNews"
952912800292143104,"Trump2024, LetsGoBrandon"
1261270683285204992,"EthnicEuropean, antiwhite, replacism, Ireland4All, IrelandisFull"
1586757766823174144,"Truth, Republicans, Republican, BlackHistoryMonth, BHM, MAGA, Trump2024, DeSantis2024, AntiWhite, AntiWhiteism, Whites, White, WhiteLivesMatter, WLM"
1484013741733597184,"GodBlessAmerica, Trump2024, MAGA, SaveAmerica"
