user_id_str,hashtags
1244377888721436672,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, funny, viral, ViralVideos, Schoolfights, Trending"
1250433531408347136,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, funny, viral, ViralVideos, Schoolfights, Trending"
1243189869758820352,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, funny, viral, ViralVideos, Schoolfights, Trending"
1614408410971209728,"TrendingNow, Trending, trendingvideo, trend, tren, Trendy, trending2023, TrendingNowSatNite, fight, fighter, fightingvideo, FightVideo, fightsvids, damn, wtfvideos, crazyfight, crazy, crazyvideo"
1745649920,"fightvids, crazyvideos"
1567924133224226816,"fights, fight, schoolfight, school, hoodfights, ghettofights, brutalfightz"
1538969052,"Fightvideo, fightpage"
1614408410971209728,"Fights, fightsvideos, fightvideos, fightingvideos, fightingatschool, knockout, ko, shegotbeatup, Fights, fightvids, fightpage, fighting, FightVideo, fightsvideo"
1250433531408347136,"TwitterFight, fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, funny, viral, ViralVideos, Schoolfights, Trending"
1515141558,"IceSpiceleaked, anime, manga, knockout, discord, twitch, fight, Fight, Fights, girlfight, hoodfighting, gore, hood, hoodfights, hoodvideos, Schoolfight, schoolfights, school"
1471551819495079936,"fightvideos, fightsatschool, Fights"
1443563791824920576,"fight, fightsvideos, fightvideos, beef, fighting, fightingvideos, fightingatschool, knockout, ko, shegotbeatup, shegothands, Fights, fightvids, fightpage, fighting, FightVideo"
1507938858624864256,"Saints, NewGear, IWR, prowrestling, Nike, saintsrow, Monroe, streetfight"
2163878619,"Fights, streetfights"
1453521849619566592,"Fight, futbolfight, fighting, knockout, fightvid, knockoutcity, fightsvideos, fightingvideos, fightvids"
1024242995212763136,"Fights, fightsvideos, fightvideos, fightingvideos, fightingatschool, knockout, ko, shegotbeatup, Fights, fightvids, fightpage, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, boyfight, girlfights, gore, funny, death, CarCrash"
1616752231,"crazyfight, fightpage"
1023475420946210816,"wtf, fightingvideos"
1536306131219496960,"hoodvideos, hoodniggas, hoodfight, hood, hoodfights, hoodfighting, hoodvideo, hoodnigga, hoodbrawls, hoodmeme"
1608910903537291264,"fightvideos, fightingvideos, fightingatschool, knockout, hegotbeatup, Fights, fightvids, fightpage, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, boyfight, girlfights, gore, funny, goredeath, thugshaker, thugposting, thug"
